CPUs: 192
Tuning rounds (3x grid): [5, 1, 2]

============================================================
R5: settle_rate=0.119, 5 seeds
============================================================
150000 combos x 5 seeds x 30 MC (coarse)
  [ 39168/150000] 26%  493s  ETA 1394s  best=71.7
  [ 39552/150000] 26%  497s  ETA 1389s  best=71.7
  [ 39936/150000] 27%  502s  ETA 1384s  best=71.7
  [ 40320/150000] 27%  507s  ETA 1379s  best=71.7
  [ 40704/150000] 27%  512s  ETA 1374s  best=71.7
  [ 41088/150000] 27%  516s  ETA 1369s  best=71.7
  [ 41472/150000] 28%  521s  ETA 1364s  best=71.7
  [ 41856/150000] 28%  526s  ETA 1359s  best=71.7
  [ 42240/150000] 28%  531s  ETA 1354s  best=71.7
  [ 42624/150000] 28%  536s  ETA 1349s  best=71.7
  [ 43008/150000] 29%  540s  ETA 1344s  best=71.7
  [ 43392/150000] 29%  545s  ETA 1339s  best=71.7
  [ 43776/150000] 29%  550s  ETA 1334s  best=71.7
  [ 44160/150000] 29%  554s  ETA 1328s  best=71.7
  [ 44544/150000] 30%  559s  ETA 1324s  best=71.7
  [ 44928/150000] 30%  564s  ETA 1318s  best=71.7
  [ 45312/150000] 30%  568s  ETA 1313s  best=71.7
  [ 45696/150000] 30%  573s  ETA 1308s  best=71.7
  [ 46080/150000] 31%  578s  ETA 1303s  best=71.7
  [ 46464/150000] 31%  583s  ETA 1298s  best=71.7
  [ 46848/150000] 31%  587s  ETA 1293s  best=71.7
  [ 47232/150000] 31%  592s  ETA 1288s  best=71.7
  [ 47616/150000] 32%  597s  ETA 1283s  best=71.7
  [ 48000/150000] 32%  601s  ETA 1278s  best=71.7
  [ 48384/150000] 32%  606s  ETA 1273s  best=71.7
  [ 48768/150000] 33%  611s  ETA 1268s  best=71.7
  [ 49152/150000] 33%  615s  ETA 1263s  best=71.7
  [ 49536/150000] 33%  620s  ETA 1258s  best=71.7
  [ 49920/150000] 33%  625s  ETA 1253s  best=71.7
  [ 50304/150000] 34%  630s  ETA 1248s  best=71.7
  [ 50688/150000] 34%  634s  ETA 1243s  best=71.7
  [ 51072/150000] 34%  639s  ETA 1238s  best=71.7
  [ 51456/150000] 34%  644s  ETA 1233s  best=71.7
  [ 51840/150000] 35%  648s  ETA 1228s  best=71.7
  [ 52224/150000] 35%  653s  ETA 1223s  best=71.7
  [ 52608/150000] 35%  658s  ETA 1218s  best=71.7
  [ 52992/150000] 35%  663s  ETA 1213s  best=71.7
  [ 53376/150000] 36%  668s  ETA 1208s  best=71.7
  [ 53760/150000] 36%  672s  ETA 1204s  best=71.7
  [ 54144/150000] 36%  677s  ETA 1199s  best=71.7
  [ 54528/150000] 36%  682s  ETA 1193s  best=71.7
  [ 54912/150000] 37%  686s  ETA 1189s  best=71.7
  [ 55296/150000] 37%  691s  ETA 1184s  best=71.7
  [ 55680/150000] 37%  696s  ETA 1179s  best=71.7
  [ 56064/150000] 37%  701s  ETA 1174s  best=71.7
  [ 56448/150000] 38%  705s  ETA 1169s  best=71.7
