CPUs: 192
Tuning rounds (3x grid): [16, 11, 17]

============================================================
R16: settle_rate=0.076, 5 seeds
============================================================
150000 combos x 5 seeds x 30 MC (coarse)
  [   384/150000] 0%  10s  ETA 3994s  best=73.1
  [   768/150000] 1%  18s  ETA 3422s  best=73.1
  [  1152/150000] 1%  24s  ETA 3136s  best=73.1
  [  1536/150000] 1%  30s  ETA 2879s  best=73.1
  [  1920/150000] 1%  35s  ETA 2685s  best=73.1
  [  2304/150000] 2%  40s  ETA 2555s  best=73.4
  [  2688/150000] 2%  45s  ETA 2452s  best=73.5
  [  3072/150000] 2%  50s  ETA 2371s  best=73.5
  [  3456/150000] 2%  54s  ETA 2306s  best=73.5
  [  3840/150000] 3%  59s  ETA 2247s  best=73.5
  [  4224/150000] 3%  64s  ETA 2194s  best=73.5
  [  4608/150000] 3%  68s  ETA 2156s  best=73.5
  [  4992/150000] 3%  73s  ETA 2119s  best=73.5
  [  5376/150000] 4%  78s  ETA 2085s  best=73.5
  [  5760/150000] 4%  82s  ETA 2053s  best=73.5
  [  6144/150000] 4%  87s  ETA 2027s  best=73.7
  [  6528/150000] 4%  91s  ETA 2004s  best=73.7
  [  6912/150000] 5%  96s  ETA 1981s  best=73.7
  [  7296/150000] 5%  100s  ETA 1958s  best=73.7
  [  7680/150000] 5%  105s  ETA 1937s  best=73.7
  [  8064/150000] 5%  109s  ETA 1917s  best=73.8
  [  8448/150000] 6%  113s  ETA 1900s  best=73.8
  [  8832/150000] 6%  118s  ETA 1885s  best=73.8
  [  9216/150000] 6%  122s  ETA 1868s  best=73.8
  [  9600/150000] 6%  127s  ETA 1854s  best=73.8
  [  9984/150000] 7%  131s  ETA 1839s  best=73.8
  [ 10368/150000] 7%  136s  ETA 1829s  best=73.8
  [ 10752/150000] 7%  140s  ETA 1816s  best=73.8
  [ 11136/150000] 7%  145s  ETA 1803s  best=73.8
  [ 11520/150000] 8%  149s  ETA 1791s  best=73.8
  [ 11904/150000] 8%  154s  ETA 1781s  best=73.8
  [ 12288/150000] 8%  158s  ETA 1771s  best=73.8
  [ 12672/150000] 8%  162s  ETA 1760s  best=73.8
  [ 13056/150000] 9%  167s  ETA 1749s  best=73.8
  [ 13440/150000] 9%  171s  ETA 1739s  best=73.8
  [ 13824/150000] 9%  176s  ETA 1731s  best=73.8
  [ 14208/150000] 9%  180s  ETA 1721s  best=73.8
  [ 14592/150000] 10%  185s  ETA 1713s  best=73.8
  [ 14976/150000] 10%  189s  ETA 1706s  best=73.8
  [ 15360/150000] 10%  194s  ETA 1697s  best=73.8
  [ 15744/150000] 10%  198s  ETA 1689s  best=73.8
  [ 16128/150000] 11%  202s  ETA 1680s  best=73.8
  [ 16512/150000] 11%  207s  ETA 1673s  best=73.8
  [ 16896/150000] 11%  211s  ETA 1665s  best=73.8
  [ 17280/150000] 12%  216s  ETA 1658s  best=73.8
  [ 17664/150000] 12%  220s  ETA 1652s  best=73.8
  [ 18048/150000] 12%  225s  ETA 1645s  best=73.8
  [ 18432/150000] 12%  229s  ETA 1636s  best=73.8
  [ 18816/150000] 13%  234s  ETA 1629s  best=73.8
  [ 19200/150000] 13%  238s  ETA 1622s  best=73.8
